Disease,MealType,FoodName,DietType,Cuisine,Calories,Protein (g),Carbs (g),Fats (g),Ingredients,PreparationSteps,HealthNotes,disease_encoded,mealtype_encoded,diettype_encoded,cuisine_encoded,calories_scaled,protein_scaled,carbs_scaled,fats_scaled
GERD,Breakfast,Tofu Stir Fry,Vegetarian,Asian,369,26.6,47.0,4.6,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,0,3,0,-0.24124668140668631,0.39369619989527993,-0.19804411580275172,-1.509319899999589
Obesity,Breakfast,Salmon Teriyaki (light),Pescatarian,Asian,560,7.0,84.6,15.1,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.,11,0,1,0,1.1064370722764039,-1.6131295050142107,1.465537783455421,-0.03840898612997801
Kidney Disease,Dinner,Grilled Salmon Salad with herbs,Pescatarian,Mediterranean,247,16.5,29.4,5.6,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,1,1,3,-1.1020708591519062,-0.6404333725325699,-0.9767420260938116,-1.3692331462977212
PCOS,Breakfast,Roast Chicken with Herbs,Non-Vegetarian,Continental,430,18.6,28.8,13.2,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,0,0,1,0.18916540746592364,-0.4254163327208387,-1.003288545762825,-0.3045738181635267
Heart Disease,Lunch,Grilled Halloumi Salad,Vegetarian,Continental,261,24.2,45.2,19.7,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health.",7,2,3,1,-1.0032877567877005,0.14796244011044413,-0.2776836748097918,0.6059900808986134
Diabetes,Snack,Tuna Salad (olive oil dressing),Pescatarian,Continental,339,25.2,47.0,9.1,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar.",3,3,1,1,-0.4529247579014125,0.2503515066874589,-0.19804411580275172,-0.8789295083411842
Gastritis,Dinner,Tofu Stir Fry and mixed veggies,Vegetarian,Asian,406,36.6,22.2,27.4,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,1,3,0,0.01982294627014267,1.4175868656654282,-1.2953002621219722,1.6846580844029946
Heart Disease,Breakfast,Lentil Stew with herbs,Vegan,Mediterranean,626,16.9,37.4,14.2,"lentils (moong/masoor), onion, tomato, turmeric, cumin, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health.",7,0,2,3,1.5721288405648015,-0.5994777459017642,-0.6227884305069662,-0.16448706446165898
PCOS,Dinner,Stuffed Peppers,Vegan,Continental,482,11.1,53.1,6.8,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,1,2,1,0.5560740733901157,-1.19333433204845,0.07184550083221793,-1.2011290418554799
Hypertension,Breakfast,Vegetable Sushi Bowl and mixed veggies,Vegetarian,Asian,536,38.3,71.5,17.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure.",9,0,3,0,0.9370946110806229,1.5916482788463528,0.8859387706819621,0.29779922275450454
Hypertension,Snack,Vegetable Soup,Vegetarian,Continental,379,32.1,76.1,5.1,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure.",9,3,3,1,-0.1706873225751109,0.9568360660688615,1.089462088144398,-1.439276523148655
Fatty Liver,Dinner,Baked Cod with Herbs light masala,Pescatarian,Continental,168,30.0,46.4,19.4,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,1,1,1,-1.659489793921352,0.7418190262571301,-0.22459063547176517,0.563964054788053
Diabetes,Breakfast,Mixed Vegetable Sambar,Vegan,Indian,177,38.3,55.2,6.4,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar.",3,0,2,2,-1.595986370972934,1.5916482788463528,0.1647583196737649,-1.2571637433362268
Fatty Liver,Snack,Steamed Fish with spices,Pescatarian,Indian,356,16.5,73.6,18.6,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,3,1,2,-0.3329738478877343,-0.6404333725325699,0.9788515895235088,0.4518946518265592
Thyroid,Snack,Miso Soup with Greens and mixed veggies,Vegetarian,Asian,268,25.1,43.5,15.2,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,3,3,0,-0.9538962056055978,0.24011260002975768,-0.35289881387199656,-0.024400310759791283
Depression/Anxiety,Lunch,Rice Noodle Salad,Vegan,Asian,629,31.3,49.8,16.1,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,2,2,0,1.593296648214274,0.8749248128072495,-0.07416035734735597,0.10167776757188994
PCOS,Lunch,Vegetable Sushi Bowl,Vegetarian,Asian,501,12.3,33.2,18.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,2,3,0,0.690136855170109,-1.0704674521560322,-0.8086140681900598,0.4939206779371191
Gastritis,Snack,Roast Chicken with Herbs,Non-Vegetarian,Continental,533,7.2,39.8,17.8,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,3,0,1,0.9159268034311503,-1.5926516916988078,-0.5166023518309126,0.33982524886506493
Celiac Disease,Breakfast,Grilled Mackerel,Pescatarian,Asian,591,16.8,35.5,20.2,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction.",1,0,1,0,1.3251710846542877,-0.6097166525594654,-0.7068524094588419,0.6760334577495473
Anemia,Breakfast,Vegetable Soup,Vegetarian,Continental,643,21.2,17.7,23.6,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,0,3,1,1.6920797505784797,-0.15920475962060035,-1.494399159639573,1.1523284203358977
High Cholesterol,Breakfast,Baked Cod with Herbs with spinach,Pescatarian,Continental,277,35.2,54.6,12.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,0,1,1,-0.89039278265718,1.2742421724576076,0.13821180000475142,-0.402634545754834
Hypertension,Lunch,Besan Chilla light masala,Vegan,Indian,326,14.9,43.9,27.9,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure.",9,2,2,2,-0.5446519243824606,-0.8042558790557937,-0.33520113409265434,1.7547014612539285
Thyroid,Snack,Quinoa Salad,Vegetarian,Mediterranean,272,20.3,21.9,13.1,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,3,3,3,-0.9256724620729677,-0.25135491953991357,-1.3085735219564791,-0.31858249353371343
Kidney Disease,Snack,Roast Chicken with Herbs,Non-Vegetarian,Continental,643,36.1,39.7,15.5,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,3,0,1,1.6920797505784797,1.3663923323769207,-0.521026771775748,0.017625715350769126
Celiac Disease,Dinner,Stuffed Peppers with spinach,Vegan,Continental,483,25.2,51.4,22.6,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction.",1,1,2,1,0.5631300092732733,0.2503515066874589,-0.0033696382299868368,1.01224166663403
Hypertension,Snack,Grilled Chicken Bowl,Non-Vegetarian,Mediterranean,556,22.9,84.8,3.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure.",9,3,0,3,1.0782133287437736,0.014856653560324784,1.4743866233450924,-1.6073806275908962
Heart Disease,Lunch,Grilled Halloumi Salad,Vegetarian,Continental,554,14.6,18.8,13.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health.",7,2,3,1,1.0641014569774585,-0.8349725990288982,-1.4457305402463814,-0.276556467423153
Diabetes,Dinner,Vegetable Sushi Bowl light masala,Vegetarian,Asian,305,38.9,65.2,15.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar.",3,1,3,0,-0.6928265779287689,1.653081718792562,0.6072003141573216,0.017625715350769126
Fatty Liver,Lunch,Stuffed Peppers with herbs,Vegan,Continental,568,36.0,77.1,26.3,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,2,2,1,1.1628845593416641,1.3561534257192192,1.1337062875927537,1.5305626553309404
Depression/Anxiety,Snack,Ragi Porridge,Vegan,Indian,584,20.6,13.6,7.7,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,3,2,2,1.2757795334721849,-0.22063819956680902,-1.675800377377831,-1.0750509635237988
Kidney Disease,Lunch,Turkey Salad,Non-Vegetarian,Continental,536,11.6,82.1,23.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,2,0,1,0.9370946110806229,-1.1421397987599426,1.354927284834532,1.1243110695955238
Fatty Liver,Snack,Fish Tikka (tandoor style),Pescatarian,Indian,221,16.6,32.4,22.1,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,3,1,2,-1.2855251921140023,-0.6301944658748683,-0.8440094277487445,0.9421982897830962
Heart Disease,Breakfast,Grilled Salmon Salad with quinoa,Pescatarian,Mediterranean,304,11.3,39.6,12.6,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health.",7,0,1,3,-0.6998825138119265,-1.1728565187330469,-0.5254511917205836,-0.38862587038464724
Kidney Disease,Lunch,Grilled Salmon Salad,Pescatarian,Mediterranean,266,24.1,85.2,24.6,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,2,1,3,-0.968008077371913,0.13772353345274285,1.4920843031244349,1.2924151740377654
Thyroid,Dinner,Paneer Bhurji,Vegetarian,Indian,299,37.6,79.9,18.7,"paneer or halloumi, bell peppers, olive oil, spinach or greens","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,1,3,2,-0.7351621932277141,1.519975932242443,1.25759004604815,0.46590332719674565
Gastritis,Lunch,Roasted Veggie Bowl with herbs,Vegan,Continental,417,27.7,51.8,9.8,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,2,2,1,0.09743824098487561,0.506324173129996,0.014328041549355368,-0.7808687807498766
Kidney Disease,Lunch,Steamed Fish with spices,Pescatarian,Indian,237,19.3,28.0,3.8,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,2,1,2,-1.1726302179834815,-0.35374398611692837,-1.0386839053215093,-1.6213893029610829
Fatty Liver,Lunch,Grilled Salmon Salad,Pescatarian,Mediterranean,287,11.1,48.6,14.3,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,2,1,3,-0.8198334238256046,-1.19333433204845,-0.12725339668538257,-0.15047838909147201
PCOS,Lunch,Turkey Salad,Non-Vegetarian,Continental,529,20.6,34.7,25.1,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,2,0,1,0.88770305989852,-0.22063819956680902,-0.7422477690175263,1.3624585508886993
Thyroid,Breakfast,Grilled Mackerel,Pescatarian,Asian,394,31.6,57.5,6.8,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,0,1,0,-0.06484828432774781,0.9056415327803541,0.2665199784049828,-1.2011290418554799
High Cholesterol,Dinner,Steamed Fish with Ginger and mixed veggies,Non-Vegetarian,Asian,337,27.7,50.6,27.7,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,1,0,0,-0.4670366296677276,0.506324173129996,-0.03876499778867124,1.7266841105135549
Depression/Anxiety,Snack,Roasted Veggie Bowl,Vegan,Continental,329,13.8,62.6,25.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,3,2,1,-0.5234841167329879,-0.91688385229051,0.4921653955915968,1.404484576999259
Fatty Liver,Lunch,Quinoa Salad with spinach,Vegetarian,Mediterranean,621,30.2,72.6,24.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,2,3,3,1.5368491611490138,0.762296839572533,0.9346073900751531,1.3344412001483252
GERD,Snack,Besan Chilla with quinoa,Vegan,Indian,443,29.1,29.3,8.0,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,3,2,2,0.28089257394697165,0.649668866337817,-0.981166446038647,-1.0330249374132385
Fatty Liver,Dinner,Ragi Dosa light masala,Vegetarian,Indian,436,33.8,24.3,13.6,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,1,3,2,0.23150102276486886,1.1308974792497861,-1.2023874432804253,-0.24853911668277956
Kidney Disease,Breakfast,Egg Bhurji,Non-Vegetarian,Indian,196,9.8,33.5,25.1,"egg whites, spinach, onion, pepper, olive oil spray","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,0,0,2,-1.4619235891929407,-1.3264401185985693,-0.7953408083555532,1.3624585508886993
PCOS,Snack,Mixed Vegetable Sambar with spinach,Vegan,Indian,600,16.8,74.7,3.5,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,3,2,2,1.3886745076027054,-0.6097166525594654,1.0275202089167004,-1.6634153290716434
Anemia,Snack,Steamed Fish with spices and mixed veggies,Pescatarian,Indian,340,8.0,43.0,26.8,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,3,1,2,-0.44586882201825495,-1.5107404384371959,-0.3750209135961744,1.6006060321818742
